,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
7,"They look great and sound OK when they work properly, but the build quality stinks. With less than a single day of use, the speaker in the ear cup that has the wire attached began to crackle with the slightest movement. I determined that the connection at the in-line volume control was the problem. These are getting returned."
8,"I order a pair of these last year for my son, and while I wish they had lasted longer the 12months I did not mind buying another pair. They are EXCELLENT!!"
9,I like the headphones nice clear sound and bass the cord is very durable and long and having volume control is a +
0,"Bought these last week after my trusty earphones bit the dust. Honestly, the only drawback is the fact that they fold; the headphones don't quite come down far enough to cover my ears all the way. Not even mad about it though; they work well for the price."
1,"Very good and lightweight. Sound quality is good. They do get pretty warm the longer you wear them, although fair warning this is the first non-earbuds I've worn for as long as I can remember, so take that with a grain of salt. Also, the cord is particularly long, maybe too long for most, but I'd take that over the other extreme for sure. I use them with an MP3 player, they work great. I would recommend them for sure."
2,"Horrible item, lots of static for no reason too small for my little ears. I thought after reading the reviews I would get a great deal NOT!

Don't waste your money folks,"
3,I've only had these a short time but so far they seem to be a fine product.
4,Sound is terrible. Earphones don't trap sound. Ear pieces don't even fit head or ears properly.
5,"Good for the price. Sound quality could be better but again, good for the $"
6,"Product arrived in time in fantastic shape. I like that the cord is protected by this braided fabric type stuff. Sound is great. My only problem so far is the size of the part that goes on your ears. They don't surround the ear, but put a tiny bit of pressure on the ear and after about an hour my ears hurt so I keep ear buds on me as well when I travel so I can switch them out when they start hurting."
7,"The headphones broke in the first week of use. The sound was not so great, but then only one side of the headphones worked. My son feels so disappointed. A bad product."
8,"At first the connection from the wired in volume control seemed loose, but after finding my preferred setting I haven’t really had an issue. They have great sound and are comfortable to wear on the ears and around the neck. I took them on 15 hours worth of flights! They made it, and fit inside my carry on. For the price, definitely worth the buy."
9,"very good, fits head nice and is comfortable and has good sound and great service."
0,"Bought this for my daughter for Christmas and one side stopped working 6 months later. Extremely disappointed, she LOVED them when they worked."
1,Broken within 2 months - can't return. Don't waste your money buy a better pair
2,This headphone is perfect. No complaints. Fast shipment and I love the price. Thank you.
3,Second time I used them the ear cushion came off and now I am unable to use them. There is no way to get it back on.
4,"I bought these for my daughter for her piano class. She loved the way they looked and initially they worked well, but they quit working just outside of the return window."
5,"I never write reviews, but these headphones deserve it. My older daughter got a pair of Beats for Christmas and ever since, her younger sister has been begging for a pair. Not wanting to spend that kind of money on an 8 year old, I decided to give these a try. We couldn't be more impressed! They are the best pair for the money. I'm actually shocked they were so inexpensive because they rival a quality pair. You won't be disappointed"
6,The headset was just what I was looking for. Very compact when folded and the sound was great on the plane. Very good purchase.
7,Great! I love the way they fold. Have used for a few trips and have had no problems.
8,"Initially, the headphones worked wonderfully. On day 2, the sound coming through the HD microphone became very static, and we are unable to stop it. Disappointing."
9,my son loves these.. they suit his PC gaming needs just fine and he thinks they look cool too.
0,Sound quality is terrible.
1,"These were great at first. Gorgeous color. Comfy. Braided cord was great. All in all, I thought they were a solid purchase. Fast forward a month and a half and the headphones barely work. If I don't have the cord a certain way, the sound cuts out completely. Pointless to buy if they're only going to work for a month and then you have soundless headphones."
2,I am very happy with these headphones. Wonderful product. I got them for my daugther to keep her own in her classroom. She loves them and I will be getting more for the whole family.
3,"Only used them for a few days, but they feel great and work well. I have not used the mic but the audio is better then most. I think I got these for around $20. If you find headphones for less then that they are usually pretty poor quality. These are a good value at twice the price."
4,I purchased these for my daughter who needed headphones for school. The price for these were nice and I trusted the reviews when I got these. My daughter love the colors. We will see about the longevity of this item and will update my review and rstings as needed.
5,"These work as advertised. They are really light, foldable as mentioned, and have decent sound quality for the price. I use these at work to bang tunes to drown out the distractions and my son uses these to play on his Xbox."
6,"I love these headphones!!! I use them when I workout and run and they are the most comfortable headphones I've ever had. My workouts sometimes last a few hours and these are weightless, snug, and have perfect cushion and support. I would buy this product and recommend it over and over again!!"
7,First pair broke after my son wore them a couple of times. Ordered a second pair and they broke as well. I give up. This is a poor product.
8,Even though they were described for kids they are still pretty big. These. Were bought for grandchild for school.
9,"Very good headphones for the price. Package came in great condition. If i had to compare the sound, i would say they are basic just like the earphones that come with your iPhone. Great for listening to music and talking on the phone as well. Just make sure when you get them you put the volume all the way up on the actual headphones."
0,Finally headphones that don't squeeze my head like a Facehugger.
1,"I love the headphones! I use them for work and personal use. Love the color, color is exactly as described. Fit perfectly. I have tried several other headphones, but these are by far my favorite. I work as a medical transcriptionist, they block out background noise and have a great sound quality. Best price out there! Very, very satisfied!"
2,"These break almost immediately with minimal use. I contacted the seller after the first one started working and then not working depending on how I held the cord. They replaced it. The replacement pair is now breaking in the exact same way. I want a refund, honestly."
3,I purchased this as a Christmas present. It seemed to work well for a couple of weeks but then we had problems with the sound. Suddenly completely stopped working. We tried a couple of different devices but no luck. These will be returned.
4,Sound is great! Love that I can answer my phone with the headphones. Only downfall is I wish I could get them a little tighter. Maybe I have a small head because they fit hubby fine.
5,My daughter loved them. But the whole foamy part that rests on her ear came unglued in two days. Can if be re glued. Probably. My husband is checking. I was just disappointed that they didn't last more than a couple days.
6,"They are great headphones, but do get uncomfortable after a short amount of time. I like the color. The wire that runs from the headphones is a little annoying since it is a fabric cord wire, and it gets tangled easily."
7,"Had this product for about 20 days before they stopped working entirely. I don't feel like I was particularly hard on the headphones or the cord, but within two weeks the right side only worked if the cord was held in a specific place and just today both sides died on me. To contrast, I paid $20 for my last pair of headphones and they've lasted more than a year and still work. Very disappointed."
8,"Don't mind my brothers face…😂, The color was exactly what I was expecting, it's a little brighter, but it looks great, but it completely stopped working after two months,and I didn’t even use it that much,so yeah..that sucks"
9,Good sound quality and comfortable to wear. I didn't know what expect. These are great for the money. The fit and finish feels cheap but i assure you these are great headphones. I have had good quality sound. I even dropped them a free times and the sound is all good.
0,"Bought for my 15 yr son to game with. He says the sound is ""perfection"". He'said happy and I don't have to hear all the gaming battles so I'm happy too!"
1,"Pros:
Good mic even when used outside in the wind.
Good sound for music for under U.S. $20.
Shoelace style wire which does not become tangled.

Cons:
Wire stopped working after 2 weeks so returned promptly.
Somewhat uncomfortable wearing over 4 hours per day."
2,This is an updated review. They DO NOT last long. I'm late in updating this but the headphones went out about 2 months ago and I did not get much use out of them. I took a chance but never again!
3,"Fits a little loosely for my head, so the ear pieces don't sit right on my ears, rather one has a small gap between the padding + ear. Minor annoyance, but they still stay on my head just fine. Volume controls are nice (sits on the cord about breast level) so placement good too."
4,Nice fit very decent sound for the cost. Will have to see how long it lasts. Good shipping/packaging. Positive so far.
5,"love love love these headphones, they are comfortable and fit well. They do their job well. The sound is good not great, wish I had more control over the settings. But they fit my ears so well. Makes up for other defiencies. Would buy again."
6,"Item purchased as a gift for my daughter. She seems very happy with them. Item broke in less than 2 weeks. Returned, have not found a suitable replacement."
7,"These are really great headphones. I bought the for my son when is second pair of really expensive headphones broke in the exact same spot each time. I refused to once again buy those overpriced headphones and thought I would try these. He loves them. Great sound, same features of more expensive headphones. Would recommend these."
8,"I bought two pairs for my daughters and they love them! Their older cousins were definitely eyeing them as well. They have great sound range, comfortable fit for tweens and above! Also, you can't beat the price. The quality of the product is solid."
9,Great headphones. Good quality sound. Microphone in cord.
0,"They are of good quality and no regrets on the purchase. However, one of the headphones has an issue with the input jack, it has to be twisted in a certain direction for both sides to work. If it wasn't for that I would give this a 5 *.

I would return it but we went overseas for a vacation and really wanted to use them during the flight..."
1,"Great value, they look and sound expensive without the high price tag!"
2,"I previously owned the Amazon Basic headphones so I'll compare it to that

Sound: Amazon
Sound isolation: AILIHEN
Design: AILIHEN
Comfort: Amazon (this is the biggest factor for me, AILIHEN would hurt my ears if worn for more than 30 mins at a time, this may not be a problem for people with smaller ears)
Portability: Equal"
3,"I love my headphones! I use them for my online classes, while my husband is watching TV and my four kids are running a muck.t hey sound great. My only issue (which is with all headphones and hats alike) is I have a smaller head then the average person. They are not as snug as I would like, but they are the most comfortable I have found yet."
4,THese headphones were exactly what I was looking for. THey are light weight and have great sound quality.
5,"They make sound. The volume slider works, but is interesting. The fold up design is a little strange. Its made of really hard plastic, and the ears aren't to comfortable. Works well for maybe 2 hours, cant wear them much longer than that."
6,"I would recommend having a pair of these head phones for anyone who wants quality of product and sound. The head phones can be adjusted accordingly, and has a fit snug that I don't have to worry about outside noises. The best part is not only the color design, but that it is also collapsible, making it easy to carry around ether on your neck or in your pocket."
7,"I purchased this two months ago, and used it lightly. However, the left side no longer plays any noise."
8,Bought them as a gift so I didn't use them but they came on time and were cute.
9,"I BROUGHT THEM FOR MY HUSBAND HE JUST LOVE,LOVE THEM THE SOUND IS GREAT."
0,"I was nervous to purchase these as some of the reviews said that the wiring was bad. I have to add the caveat that I only really used them for our trip for 2 weeks. But during that time, I had them folded up, wrapped the chords around them, unwrapped them, etc... lots of times. They worked well for what I needed! I don't like in ear buds and these were comfortable enough to sleep with while wearing. They don't quite cover my ear completely, but almost do!"
1,I bought these headphones for my son who is on the autism spectrum and has ADHD. He rides a monitored bus to school every day with other students with disabilities. He recently complained of the noise level on the bus. Changing him to a different bus is not an option and it was suggested for him to use headphones with his phone on the bus. These headphones have done the job we needed for them to do. They block out the sound of the other students and provide good quality sound for him. They are also sturdy enough for his use. I'm very happy with my purchase.
2,"I have started using them and they work great. They seem well-made and are comfortable. Purchase was rather recent, but I will update if they fall apart. Color and appearance match picture. I love that they are foldable. We use them in an office environment for training, so storing them easily is important for me."
3,"Pros: headphones are lightweight but feel solid. The black and orange color looks great. The photo you see is a great representation of the colors that you get. The sound quality is very clear and very bright. It's a rope type cord that feels good. length is good, quality feels good, nice gold connectors. volume control works well answering phone calls ending phone calls, Button works well. I have an LG L90 phone which is an old phone but I cannot go to the next track it will only let me pause not a big deal. The earpieces swivel up and down so that they sit flat around your ears very comfortable. The folding ear cups is a great space saving feature Works quite nice.
Cons: not enough bass or bottom end. When you have the headphones on there is not quite enough pressure to create a tighter seal around the ears to give a fuller bottom end to the sound. For me this was an easy fix.headphones collapse to fold all you need to do is shove a small wedge in the Gap to keep them from opening all the way you can still collapse um but the wedge prevents them from opening which creates a tight seal around the ear giving you a fuller sound and more Bass. I just cut a piece of velcro put it in the slot now there's plenty of pressure around my ears to keep them tight so I get that full sound and full Bass."
4,"Love these! The ear cushions are soft and they really dampen outside sounds. I think these headphones are great (and stylish!).
It also came in a great box (clear front, sealed, gift-worthy). I could easily slap a bow on the package it came in and gift it as-is, that's how nice it looks. :)"
5,Wonderful headphones. Fit around my ears so they don't feel smushed. The sound is clear and oftentimes I have wondered if i had them properly plugged in because it doesn't feel like you are listening through headphones. When being used they completely cancel out sound around you and give you a surround sound experience.
6,"Great quality feel and comfort of the headphones, they cover my ears quite comfortably and the sound quality is not a problem at all. The cord is not like those flimsy plastic wires that easily get tangled so I'm never dealing with knots, and the headphones adjust easily to fit over your head without you having to hold it to your ears or anything. It's solid quality, and a great price, and the picture and color match so it's not a case of getting something different to what you're looking at. Highly recommended if you want something other than cheap in-ear headphones that gather dust in your pocket."
7,"These headphones were great when I first got them, I was using them all the time and loving this! Then after about a month or so (so after the 30 days return policy...) one of the sides stopped working. Over the course of another month, the other side slowly stopped working as well and now if only works if I twist the plug in a certain way. All in all, these headphones fake you out into a sense of security for about a month, but as soon as there is no way to get your money back they start breaking. Will not buy again. I thought they might be too good to be true. Will stick with Sony headphones in the future because mine worked well for at least 3 years before one of the sides stopped working. I think they spent most of the budget on looks for these headphones and not much on actual sound quality to lure you in. Sony doesn't look as nice, but at least they work for more than a month."
8,"I bought the mint color and I must say that they are more of a teal in real life. That said, they are very nice to look at. I love that the cord on these headphones is braided so that it does not get tangled. These headphones are also very good at blocking outside noise and they have very good sound quality, especially for the price."
9,"I bought these headphones in the start of summer, and fell in love.
The Bass is phenomenal, just as good and better than my Sentey earbuds (which have been through the wash more than once)
They are also stylish, and go with many of my outfits as well as enhance my facial features (Have gotten many comments)
I highly recommend the C8 headphones to all my friends.

My only complaint is the length of the cord, me, being quite short and very active, not to mention forgetful stepped on it all the time.
to prevent this I had to wrap it around my body, which was less than comfortable.

Also, I did not get a warranty card or user manual. Today I stepped on the cord and the jack was bent at a nearly 90 degree angle, I was very upset to find no warranty card in my box as the description lists. I will buy another pair because I love them so much."
0,"Wow! Great sound quality, especially the bass. Volume was excellent also. A good buy!"
1,"My daughter was a bit disappointed that these would not work on her phone because of her waterproof case. But, she uses it with her Chrome book just find and they are comfortable for her."
2,Great item high volume quality almost like beats our son love them
3,I love this head phones. Nice padded ear covers and I love that the head band is adjustable. I would recommend it.
4,"Worked great for a couple months then one side quit working. Disappointed since my daughter loved them and found them ""super stylish."""
5,this was bought for my 11 year old grandson. he loved the color combo and loved everything about them until our puppy chewed the cord and now they won't work. We will get him another pair of these. Good product.
6,"Microphone was VERY soft, even when turned to full volume. Colors were very cute, but these didn't last through the school year, which was the goal. It's off to electronic recycling."
7,"I love these headphones! They are awesome for music and for phone calls. They are not completely noise cancelling, but I prefer that as it is safer to be able to hear surrounding sounds in the event of emergency."
8,Not enough volume.
9,"As someone who loves listening to music, but is not a confirmed audiophile...I find it difficult to quantify headphones correctly. I've owned SHURE phones in the past, and have had a couple of good off-the-shelf pair, but I've never been someone who NEEDS perfection.

So, that said...for the average person who doesn't want to spend a fortune on headphones, these are pretty awesome. They have really good range. You can hear the bass, but it isn't fuzzy and the upper range isn't tinny. They fold nicely, and the joints don't seem like they're weak spots in the design. I really like the cloth braided cord, and the inline mic and volume control is pretty cool too. They feel comfortable on my big head, but still adjust to fit my toddler nicely.

The one thing I don't like, and it's small...is when something is made of plastic but is painted to look like metal...like the rings around the speakers on this pair. Oh well.

I received this product at a discount for an unbiased and honest review. I *did* however buy a second pair for our family at regular price...so I do like them quite a bit."
0,I bought these for my grandson for Christmas. As far as I know they work great and he loves them
1,Great sound and comfortable. Would definitely purchase again.
2,"So far my son loves these for the PS4. I had gotten him a different brand that didn't last a month, so we are very happy so far with these."
3,"I've had it for about a month or two, I only use it at work at my desk, and it's already broken. The cord is short circuited and only one speaker consistently works now. I would've returned it, but my window closed to return it like 20 days ago. Also, the headphones are so tight that my ears were sore after using for half an hour or so."
4,Got these for my granddaughter and she lives them.
5,These are great headphones with great sound. A little big for my head but that's no problem since I just use them while sitting. The microphone is great & the controls are fantastic and easy to use. The Mike is close to your mouth so folks can hear you without having to hold it up to your mouth. I got the mint\grey & i love the color.
6,These look good and are comfortable but after only eight weeks of light use there’s no sound on one side. This seems to be a common defect based on the reviews.
7,not sound proof but descent headphone for the price if you like your base
8,I have purchased 3 of this companies and they only last about 10 days if that.
9,Not working :(
0,They looked good as they were purchased for a church give back for school children in need.
1,The foam ear parts do not stay on and I have to keep putting them back on every time my son takes the head phones on and off. The plug in bent on our first and only trip. This is not an item that was used for more than 4 hours and it didn't hold up. Unfortunately it's beyond my time to return them or I would have. He's 6 and responsible with electronics. The item simply just isn't well made.
2,Both pairs of headphones I purchased stopped working after 6 months.
3,Bought them for my daughter and she loves them. She says the sound is great and they are comfortable to wear. She has recommended them to her friends.
4,These are lightweight but the sound quality is aweful. I'm literally surprised at how bad even for the price.
5,"comfortable fit, love the color, and most importantly they sound really good."
6,Bought these for my grandson who is visiting for the summer and his olds broke. He loves them and uses them every day. I haven't heard him complain about the sound or the quality.
7,"The sound quality was alright, but it doesn't block out noise entirely. These also only lasted about 2 months before one side stopped working. Kind of a shame that I paid about $20 for 2 months when earphones for $6 lasted over half a year."
8,One side of the set went dead in 3 months! I have a 2md set & hope this lasts longer.
9,"Ii like them, but noticed that if I unplugged and re-plugged I may not hear anything without turning my phone off than back on."
0,They work great. My grandson loves them. I purchased 3 different pairs and colors so he always has a pair where ever needed.
1,Headphones arrived quickly and work great. Sound is good especially for the price. Happy with the purchase.
2,"Great headphones for my daughter. She loves them and the color is very bright and pretty. However, ear padding started to tear less than 24 hours of having them."
3,Son loves them. Nice color and comfortable on the ear.
4,"Purchased for my nephew, he absolutely loves them! Great sound clarity."
5,Everything you need without breaking the bank. Solid sound and a good looking product.
6,"I purchased two of these, this one broke within a month of purchase."
7,I love these headphones. They are comfortable and the sound quality is pretty great.
8,A gift for my Grandson!! He loves them!!!!
9,"Great set of headphones, noise cancelling, clear crisp sound."
0,"Not quite as good sound quality as the I35 headphones, but there's a volume slide thing and you can actually skip songs with the button, which is neat. Also blocks out more sound than the I35

I'm not sure if I would pay $20 for it again but it's pretty okay (and I don't want to go through with the hassle of a refund lol)"
1,Great - my son goes through these things like water.. I am hoping they last longer than a few months... so far so good>
2,Works really well. My daughter loves this item
3,"Good headphones. The volume is good, and the mic sounds clear and good. I just wish the volume control were buttons instead of a lever."
4,Sound is good. Hurt my ears a little after long period of time.
5,Did not have to wait long for it’s arrival. Really like the way the item folds up.
6,"These headphones are attractive, durable, and life savers when it comes to my boys playing on their Kindles and 3DS's. Definitely a great value!"
7,Its cute but after a time only 1 side worked
8,Bought these for my 9 year old and she loves them. They fit her head pretty well (collapsed to the smallest size) and are comfortable on her ears. The cord is pretty rugged and they fold up easily for storage. Very happy with the purchase.
9,While we loved them when we got them 5 days into use the headphone plug bend and almost snapped. So angry about it simply because stuff like that shouldn't happen and it hasn't happened with any other headphones set we ever owned. Lets hope they will still make it through our trip becaue I have no time getting new ones.
0,"The sound quality is really good and I received my order faster than I expected. I was hoping I could plug it into my landline phone but unfortunately, it doesn't fit. I'm going to try and find some kind of adapter."
1,"The headphones work great at canceling out noise and are comfortable to wear. The color (orange) was also appealing due to the fact that I am a student and it is easier to misplace things and with orange, they are easier to locate. The fact that they also fold helps keep my already overflowing backpack neat and organized."
2,"Considering the price, it exceeded expectations. Comfortable on the ear, great sound quality, and folds up nicely too. Very happy with it so far."
3,I have been looking for a pair of headphones with a good mic that I could use for calls on my Smartphone. It may be too soon to tell but so far all feedback on the other end has been very positive.
4,We have one pair of these and liked them so much that we ordered this pair!!!
5,"They are great looking, but these headphones lasted 2 1/2 months."
6,"These are very comfortable and they sound great. I really like that the cord is covered in a tough material so you don't have to worry about tears. They fit my head perfectly which is particularly nice as I've had problems with headphones being a little too tight (and my head is normal sized, presumably)."
7,Only lasted 2 weeks. Metal piece that plugs into tablet broke off in tablet. Headphones useless and tablet has no sound.
8,After I bought it i seen that it only works for smartphones so i was a bit concerned but i got it early and used it on my computer and it worked so i'm satisfied with it. I haven't gotten to use it too much since I just got them but so far pretty good.
9,Very comfortable and allows great sound while providing ample background reduction.
0,"We love these, my son uses them for the phone, and to listen to music and they're noise canceling on top of that! Great Find"
1,They worked great until my dog ate them lol
2,These headphones look good and my son seems to like it.
3,"Pretty, sound is perfect and adjustable, comfortable"
4,I bought these for my 5yr old daughter. They have good sound for her and the price. The color is very pretty. The folding is nice but it feels a little stiff like one of these times it could catch and break...this has not happened though and like I said they are perfect for the price and our application. I’d buy them again.
5,Very comfortable and lightweight.
6,"I received these yesterday. Ordered to listen to music and movies on my computer. I was pleasantly amazed at the sound quality, appearance, and construction of these headphones."
7,Kid uses them for gaming and skyping. She loves them. She wanted foldable headphones and says these are great!
8,"This product has been purchased for a 10 yr. old for Christmas. They look great, but, they are a gift (I have not tried them out for sound quality).
At this time I would say, yes, I would purchase this product again."
9,Great headphones and really cute
0,They sound good but they are big in size. And there is no way to make them smaller.
1,perfect. my kid loves them. the sound is perfect.
2,"these were a gift to someone else, but came great was a beautiful color, and from what i heard from the person they have great sound quality, and long cord."
3,Really loud and good bass. It's for my 8 year old so he has to keep the volume down but it does have a very easy volume knob that's really convenient.
4,OK fit but volume control is on or off. Not much control
5,The headphones feel quite heavy and my kids are unable to use them since they find it very uncomfortable. WIsh I had not bought 3 pairs without trying one but I read the reviews and took a chance. Not happy with the purchase unfortunately
6,Bought these for my 10 year old son and he is very happy with them...easy and comfortable to wear and he thinks the sound is great.
7,"Great headphones, works and looks great. Right as expected."
8,Bought for my fiancée and he loves them! He said sound is good and works when we travel. Love how they fold and easy to pack (also bought case for them).
9,"Although the headphones arrived quickly and nicely packaged after using them for three days I really can't use them. They keep sliding off my head, the button is terrible to use and the sound quality horrible. Completely tinny and no bass to speak of. All and all a waste of time and money."
0,"The sound quality is fine for my needs and the headphones are comfortable. The cord is sturdy and the length is enough to comfortably plug into a PC. However, as an adult female the headphones barely fit me on their smallest setting. I feel like there should be just one more size option"
1,"Super comfy, very durable. I like the volume control on the headphones. They pack easily into my backpack. I ordered one for myself months ago, and they are still great. I just ordered two more recently for my parents. They look good too, so far."
2,"Nice headphones, cool color and solid sound."
3,My mother needed these for her chemo treatment and they are exactly what she was looking for. Arrived earlier than expected and provide great sound and quality!
4,We got these for my 11 year old daughter. She loved them! The sound is really good and the best part is how long the cord is. You can adjust the sound on the cord. They also fold up which makes them easy to put away or take on a trip.
5,"Received Oct 19th and my
Daughter has only used a handful of times and they are already broken! The sound cuts in and off and we have to mess with the cord into the headset to get it to work. After if she moves her head it cuts back out! Not happy as she has had them a little over a month and we already have to buy a new pair!"
6,"I purchased this headphone set to replace the one I received with my Yamaha Electric piano - mine had worn out. This headset is terrific, rich sound, comfortable to wear! I am very pleased!!!"
7,"great sound, durable design."
8,We bought these for the start of the school year. My daughter is entering middle school and wanted something a little snazzier than the standard black headphones. The color on these is great and they feel quite substantial. I listened to them for a few minutes and the sound was more than adequate for the price we paid. Overall I am quite happy with the purchase.
9,"Worked great, except the cord eventually got loose or something? I have to buy new ones and it's only been 6 months."
0,Comfortable and works great
1,My son enjoy it he like it
2,Daughter loves them! Nice quality!
3,"I was satisfied with the bass sound but the mid wasn't quite strong enough for my liking, which is of course a personal preference. If you like an emphasis on bass and are not too picky about the rest of the dynamic range, these headphones would probably be fine for you. They folded into a compact size and were soft on the ear. Also, the noise cancelling feature works well, and I loved the aqua color, stylish look. Very satisfied with the company's customer service."
4,Update: Customer service contacted me immediately after I posted the review about an issue with the product and will send a replacement soon. I cannot tell you how much I appreciate this. My daughter absolutely loves them!
5,Best $20 I ever spent. I wasn't looking for anything fancy or anything expensive--just something I could use to listen to music around the house (ear buds are too big for my ears and won't stay in) I use these all the time not only to listen to music on my iPhone but also to play games on my kindle. and the added bonus was the color matched my iphone case! :)
6,This was actually my second headphone purchase. The first 1 still works had no problems. I took this 1 out the box and it only worked twice. Because I have a child on the ASD Spectrum and she is constantly chewing things I always have a back up. She never even got close to it.
7,Really like these headphones. They are very comfortable and I especially like that I can adjust the volume with the headphones.
8,Pleased with these -comfort and quality
9,I haven't had them two months yet and they already stopped working
0,"I appreciate the sturdiness of these headphones. The cable seems to be covered in some material that makes it more durable and less susceptible to internal breakage. I always appreciate a volume control and look for hat feature. What I would change about them is the plastic leather like pads. They do help to muffle external noise but they hold in heat and sweat. Sweaty ears is not my favorite sensation. If the room isn't noisy, just position them slightly off the ear for air flow."
1,"These headphones are affordable with sound quality to match. I bought these for my little sister since she likes to listen to the same song over and over. Despite her leaving them on the floor, kicking them around, and just in general being a kid, they are still in good condition and work just fine. The cord not getting all tangled up and the folding for portability really add to the durability, I think, since my sister likes to bring them everywhere.

My only complaint is purely cosmetic. The colors could maybe have more variety, or just a different set entirely as none of them were particularly nice, at least to my sister and me.

Pros:
-Affordable
-Durable
-Good sound quality for price
-Cord rarely tangles
-Easily packed

Cons:
-Bad colors"
2,"These were a gift and the recipient loved them. After learning how good they were I ordered a pair for myself.
There was one downside. The original purchase included a coupon for a discount if I ordered more that I did not know about until after the second order had been placed.
Not the sellers fault but it would have been nice to know before hand .
Perhaps with the multiple emails from the third party seller wanting feedback for the product this could have been mentioned.
Que Sera Sera"
3,Best headphones for this price. Now I can listen to my music with disturbing (or being disturbed by) others when I'm working or on the lightrail. The microphone works much better than I had expected for something under $20. This is the second pair that I have purchased because my first pair broke (you could only hear music if you held the cord at a very specific angle) and I didn't know about the lifetime warranty. *facepalm* I'll definitely remember this time!
4,I am contemplating on purchasing a second pair just cause! I love these headphones. They work great and are a bit noise cancelling but not so much! very comfortable and usually I am the type to have to keep adjusting due to all of my ear piercings but never with these.
5,"Let it be known that I wasn't paid in anyway to write this review (I also wasn't sent the product for free to review it).

For the price, these are pretty great. They are comfortable to wear, have adjustable ear pieces (for bigger/smaller heads), the cord is amazing because of its shoelace-like durable nature, and the color (teal) is poppin'. I like the on-wire controls for volume as they come in handy when you need to turn them down as fast as possible. Oh, and the microphone works swimmingly.

The only thing I find lacking is a good bass sound... But really, for how cheap these were, I can deal. Everything else is pretty sweet.

P.S. As a full-time student who also works a few part-time jobs, it's awesome that these fold up well; I can put them in the top of my backpack and not worry that they'll break."
6,I have not been impressed with the sound quality of these headphones. There was a short in the 1st pair I bought so one side didn't work. It fell within the warranty period and so were replaced. The same thing happened to the 2nd pair--a short in one side so you cannot hear. Kinda important in a headphone to be able to hear. I have been impressed with the customer service. They noticed the 1st pair still was within the warranty period and sent a replacement.
7,"so far my 14 yr old hasnt broken them and it has been a 2 weeks! He even brings them to school, and if u knew him you'd understand my excitement!! good sound, fits well, and an added bonus for him is the outside noise blocking- not a bonus for mom ;-) thank you for a good product so far. ..here's to hoping they last longer and i can share the second set u bought as a backup, expecting they'd break."
8,"These are horrible. We ordered 2 pairs. The first one broke within 2 days after they fell from the table. The other ones power cord actually broke off inside our ipad after a month and we had to dig it out! I contacted customer service after the first one broke and they contacted me very quickly and said they would send out a replacement. I was very happy...yeah, they never sent it and it's been months. These headphones are pretty, but not durable at all!"
9,"Bought these headphones in May. Love the fit and the sound quality. 7 months later now, the sound is cutting out from the right side. Really sad as I use these all the time between my computer and tablet. Will probably buy another pair but might just dish out the money for a wireless set. Rather sad because I really did like these a lot.

Update: After speaking with their customer service (who was very helpful btw!) I will probably just end up ordering a new pair of these same ones as I really do like these headphones."
0,It broke leaving a piece inside the iPad.
1,"I teach English Language Learners. In the spring of each year, we give them a test to see how their language has improved. For a portion of the test, the students must complete a speaking section. These headphones with microphones were AWESOME! They worked out GREAT and picked up the students' voices very well. I will be purchasing more of these headphones with speakers!"
2,"Very good for its price. I was mostly looking for headphones that had volume control and this one does the job fine. You can slide the control up and down, and it operates separately from the volume bar on your phone. The sound quality is all right, I usually need to go to high volumes to hear my music clearly. The headphone wire is very long but it's a minor detail. Overall, it's a nice purchase."
3,They didn't hold up not pleased
4,I love them so great !!!! sound really nice will buy again for sure !!
5,"Very clear sound, very affordable and the color is great!!!"
6,"Very good for the price. I like the controls on the cord. The only thing that keeps me from giving it 5 stars are the round ear pieces. Hate to say it, but I have a big head. :-). And those ear pieces pinch after a while."
7,Great sound for the price! I wear these when I work out 5 days a week. They are easy to clean and fit snugly.
8,Good sound and microphone. Bought them to use in a busier office setting for phone meetings. The headphones block out much of the background noise and the microphone seemed to work well. I highly recommend.
9,"These headphones have been used lightly for 3 months, mainly when the kids are laying in bed watching a movie. The sound is good and they are comfortable. I give only 3 stars because they have stopped working after only 3 months. If you twist the cord just right the sound will work but that shouldn't have to be that way."
0,Perfect for me! Good quality for the price!
1,These are a Christmas present for my son. I cannot give you an honest opinion just yet. Hopefully they work good and last long.
2,Great headphones with nice features at a great price. What's not to love?
3,Cheap headphones that conked out on me w/in two months😕 Not worth the money.
4,"I purchased this pair knowing the Audio quality is poor, actually after hearing them, they are real bad, but I modified them using a pair of 40mm, 50 Ohm, Sennheiser HD-559 drivers. Perfect fit in less than fifteen minutes I replaced both drivers, including soldering the new drivers and locking them in place. Talk about the ""WOW"" factor, they sound incredible, at least 90% better than the original ones, you can't even tell they were modified, until you listen to them. No cutting, no hastle everything fit in place, if you have older beat up broken or ugly pair of higher end Headphones, then theses Headphones are perfect!!! I'm going to try and upload pictures."
5,My 9 year old daughter got these with a gift card and seems very pleased with her purchase.
6,great color and size
7,Suitable for a child
8,"Great looking and comfortable. Sound is not as rich as I would like, but good for work."
9,"My daughter loves her new headphones.
She's happy.😁."
0,"Nice fit, good sound."
