,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop Tablet Android Smartphones(Grey)
854,"I got these headphones for my son, he loves them. I almost kept them for.mhself after trying them. The sound is crystal clear and they block out the noise in the room so he can only hear his music. Unlike some other headphones we've tried these truley have bass so it's like your listening with speakers on your stereo. He has had them for about 3 weeks using daily and had has had no issues."
855,These are a nice solid set of head phones for this price point. I often listen to music to help go to sleep and these are very comfortable and I really like the sound quality. I also use them for on-line telephone conferences with my team or when I want to have a phone conversation with someone but want to be hands free. I would certainly recommend them.
856,"I received these headphones for free in exchange for an honest review. These headphones arrived packaged wonderfully and look so sleek. They were easy to pull out, unfold, and use right away! I put them on to take out to weed my flower beds and loved them! They are noiseblocking and the bass works well. The sound is clear and loud. My husband wore them for his workout and said they had great sound. Overall, they are an awesome headset and get the job done!"
857,"Nice, compact headphone design with cans ( instead of earbud/in-ear monitors). I have own several Ailihen sound products, and just like all of the rest, these do not disappoint. When I have ever had any issues (few and far between), they have prompt, first-class sales and suppprt. They stand behind what they sell. Excellent comfort, quality sound for a great price. Five stars!!!!!"
858,"Broken after two months of light use. I think the cord is broken near the connection port. Only one side of the headphones had sound for a bit. It used to work if the cord was wiggled slightly, it's completely dead now unfortunately."
859,"I ordered three of them and only after two months passed, two of them are not functioning anymore. One of them has some connection issues on the jack; the other went silent on one side; typical for cheap products. I was expecting this brand Ailihen being better quality but it's not. I recommend to spend $50-60 and get a medium quality head phones to last at least a year."
860,This pair was a hit with my girls. They have been wanting a certain expensive pair and this one looks a lot like those. The sound quality is superb and the padding really helps to mute all of the sounds outside. There is a mic on the cord for easy handsfree calls. We got these in the gray color and are very happy with them.
861,"Gave these headphones to my husband for his birthday and he LOVES them! He uses them when riding the lawn mower so he can listen to his favorite music and they do a great job of blocking out the noise of the lawn mower, while allowing him to jam to his favorite tunes!"
862,This is one of the most amazing headphones i have noticed on relatively low price. The design and appearance is awesome. The bass is great and performed great on surround sound test. I absolutely loved it and enjoyed it as of now. The wires are threaded for durability which is missing in most expensive phones too. Good job Ailihen.
863,I am so disappointed. I might as well hung my money out of the car window. These did not work with my IPhone. Not a sound came through despite many attempts & volume adjustments. Thank goodness I bought them on a lightning deal which proved to be no deal at all.
864,"I love them and would give 4 stars save for the ""cord popping"". I only notice when it is plugged into my laptop so it's probably my laptop. I got a great promo on these headphones and it's some of the best money I've spent. The sound is comparable to more expensive headsets and they seem built to last. I love them and ended up buying 2 more pair. The cord popping is a new thing and like I said-it's probably the laptop. Buy them! You'll be happy with them!"
865,I cannot recommend these headphones. It arrived with one ear speaker loose inside the housing. It still worked so kept using. And now about a month later the other speaker stopped working...nothing else to say.
866,"These are fantastic! I purchased them as a gift for my nephew, to keep him occupied on the plane for a family vacation. When they arrived, I tried them out to make sure they were working properly, and I was blown away by the sound. Not only the highs (or treble) but also songs with bass. The sound is crisp and clean, and I couldn't have asked for more."
867,Sounded good in the beginning. A week later people were complaining they couldn't hear me. Funny thing is this headset stayed at my desk and never left the house.
868,These headphone work great and have great sound. The only bad thing about them is that they have a STRONG chemical smell for about 4 days. This prevented me from using them right away because the smell gave me a headache. That's why I gave it 3 stars instead of 5.
869,Received 2 of these and we both love them and now I don't need to listen to the hubs YouTube videos with lots of loud machinery and he doesn't have to listen to my cooking ones .. and no more tv/computer volume wars in our happy house
870,I bought these for my teen. He said the sound quality was great but the ear padding was uncomfortable to him. He said that they didn't feel too tight just didn't care for the padding. I guess he's more of an earbud guy.
871,"These work great, they have good quality sound! They are actually pretty loud if you want it that high, my son had them off and I could hear everything clearly from the counter. They are nicely made and fold away nicely and are comfortable."
872,"Comfortable, sound is amazing. Both my kids (teenagers) love them. Bonus feature the mic. Way to often we get headphones and they don't come with a mic and many calls lost. This makes listening even more the better
Would highly recommend"
873,"I bought these for my daughter to travel with, they're soft on the ears and the sound is good. Would have given 5 stars but I haven't used it that much and sometimes these things stop working prematurely."
874,"The kids use these with the PS4 to play online with their friends. They have no issues with the quality and I don't hear the game. So far they are working well for us. As long as they last, we'll continue to be very happy."
875,"we love this headphone its awesome we recommend this headphone .
if we had known it would be this good we have bought few of them.
even though its a great product.
workmanship
quality
price
no question ask.
we thank you all."
876,"these work very well, the sound is great when using them. my kids love using them with the
Amazon Fire TV Gaming Edition, they just plug it in and mommy doesnt have to listen to them play games on the tv."
877,These are perfect for both my computer and my phone. Actually this is the second pair I bought because my son liked my first pair so much that he took them for himself. The microphone projects a clear voice and I have no complaints about the sound quality for watching movies or listening to books on tape.
878,"The ear holes are made for a child. Neither my wife nor I could get these to fit around around ears. No, we don't have Spock ears either. Never plugged them in to test the audio quality. Headphones that sit on top of your ears instead of around them were a no go for us."
879,"I love these headphones and plan to give them to my grandson for his birthday in November, if I can wait that long. Will follow up with review when he gets them. For now, they look to be made good and they sound great."
880,"These were ordered for my son, They are great! After about 10 days of use the piece broke in his ipad very unhappy. Now i need to pay for a teck to fix his ipad too. Ipset because it was a Christmas"
881,These are great headphones. Not only are they very stylish and sleek--they actually work exceptionally well! They can be broken down for more compact storage which is also a nice feature.
882,Fairly good bargain headphones. Yeah sound quality is pretty great (have yet to try the mic) but the ear cushions are rather uncomfortable if you have slightly bigger ears. Extended use definitely results in some acheing. Otherwise great for the price.
883,"I was so excited about these headphones. The sound was great i thought "" this is the best deal on headphones!"" My excitement did not last to long, after the second use i can now only hear sound from one side😢 perhaps mine were just defective?"
884,"Bought these headphones for my son, who is attending college out of our community, he loves them - the built in mic is very nice for him."
885,Comfortable. Good enough sound quality for music and when I use them with my smart phone I can hear the other person and they can hear me.
886,"These are comfortable, and fold up nice. But they mess up all of the time. When listening to music or a video it activates either the volume up/ down, or switches songs. This is without pushing the button on the wire. It will also activate the voice assistant. Very annoying."
887,"I was really hyped up for this product because of the good reviews and price of the headphones. Yet, the first day I used the headphones, I turn to get a paper, and boom, audio cuts off. Whenever you turn or move your head, the headphone's wire caused the audio to turn off or go all staticky. I was also looking for comfort when I bought the headphones, but after about two hours of it on, it gets uncomfortable. Unfortunately I'm returning the product because it's not worth the trouble. The bad outweighs the good."
888,"Amazing headphones! Easy to wear, comfortable, soundproof.. Going to get a pair for my Granddaughter! I love them! Thank you!"
889,"Works, sounds good, and inexpensive.

I'm not much of an audiophile but these headphones are pretty good for the price. Lots of bass, for those who love it. I use these to listen to white noise while I'm studying, and they do a decent job at isolating noise.

Headband out of the box is a bit tight, though I do have a big head. Ears start to hurt after an hour of listening due to compression."
890,"i purchased 3 pairs of headphones for my nephews, one gray/black, one red and one blue - so no one fights over them. they loved them!! they were great christmas gifts. everyone was happy."
891,This products sounds great. Bass is really good. I like that these fold in so they do not take up much space when not in use.
892,"Foldable, great sound, includes microphone so you can chat on phone too. Would buy again. Great and useful for a gift exchange item."
893,"While the headphones sound good, my chief complaint is that they are advertised as ""On Ear"" headphones. They are not! They are actually ""Over The Ear"" headphones with large cups/pads. Those who wear glasses shop for ""on ear"" so that the pads don't press against the glasses frame/arm that rests on the ear."
894,tThey are ok but they have a little static every once in awhile. I ordered 2 one for my husband and one for me. I didn't want to spend too much money on a set. So I got them for a great price.
895,"So far so good. I bought 2. One in red, the other in blue. The sound is AMAZING and they seem sturdy. I will update if anything changes."
896,"They lasted me for like 6 months before the right side decided to stop playing music and just only play static. i guess its true, you pay what you get. i got them on sale for 10 dollars. The sound quality was average, and you can't control the volume. Instead you get a button that answers phone calls. Just a heads up for other out there."
897,"Buy this product then.

The line of headphones is made of fabric that does not cut well.

And the It feels comfortable wearing headphones.

Don't worry about your big head. It is also possible to resize."
898,"Great headphones, and a good quality, holds up to a elementary school age child, which means a lot!"
899,"Love these headphones. Comfortable, good sound, easy to use and adjust volumes, and stores easily."
900,Shipped on time and arrived exactly as described. Very happy with my purchase.
901,These headphones are high quality & stylish. They produce a clear sound with magnified bass and cancel out noise around you. Definitely recommend these bad boys! 🎧 #jamierski
902,"Nice headphones, fit well, feel good, fold up nicely."
903,Great headphones ! My son loves it ! It fits perfectly and is adjustable. The color is very nice.
904,"Neat headphones. Should have ordered more, kids fight over these. Work well, sounds great. and folds easy."
905,Used it only 6 times over a few months and the right ear piece stopped working.
906,Had it for 4 days and it stopped working!! Used it for no more than 2 hours!
907,Quality is okay. Hurts and warms up ears after about 30-60mins
908,"These headphones is a gift for my daughter, and if she liked this, all is well, thank you"
909,I got these for my daughter and she really likes them. She said they are comfortable and work great.
910,"Glad I came across this product...great price, great sound quality. Bought it for my 17 year old daughter. No complaints."
911,They get good sound especially for the price. They're a little loose around the ears but they are a nice size and the cord is incredibly long which works out great. If I need more headphones but don't have a lot of cash this will definitely be a repurchase.
912,"The headphones work great, good quality made product, easy to use."
913,"These have good sound quality, not crisp clear like higher priced models, but pretty darn good for the price. No need to spend an arm & a leg for headphones when these do the job."
914,"The headphone comfort and the sound were good. I feel like they're a little bulky, but that's the style for some. My gripe is that they 3.55mm plug broke off inside my phone. Spent the better part of a 2 hour layover in Dallas digging into the port with a pencil to get it out. These good sounding, okay looking headphones were laid to rest in a trash can in the B terminal. Handle with care."
915,Work great in comfort and sound as they are lightweight.
916,I'm very pleased with my purchase. They are comfortable to wear and sound great.
917,"Wow! Awesome, amazing sound. Really blocks outside noise. Music tone is rich. Lucious sound. When others wear, can barely hear music playing outside of headset. Comfort is perfect on ears and head. Absolutely love the color gold. So far better then some other pairs I have for 40. Great for working out, my gardening."
918,still getting used to them ...but I like them
919,quality meets price paid.
920,Didn't last long
921,Great headphones and great price ! Sound and bass is awesome ! Recommended
922,Good clear sound BUT after using it for a while it squeezes the head.
923,Great heaphones. Hope they prove to be durable.
924,Great sound and very comfortable! This is my first purchase with this brand and I would buy it again!
925,not too sure about the volume or the ears after wearing them but they are ok.
926,"Perfect for my middle-school children. Good fit, durable material."
927,"Bought theses for my 15 year old
He loves them, rich base clear crisp sound and very comfortable, getting me a pair."
928,I received my headphones #AILIHENI60 this weekend. I am very pleased with the quality. I have two boys in my family. Both of them hace used the headphones. They are adjustable and fit perfectly. The sound quality is great and the color is amazing. The headphones pack great because the are FOLDABLE!
929,They work great
930,Good sound for the price.
931,"good sound all the buttons work like their suppose to
nothing overly fancy"
932,"filters outside noise very well, nice smooth sound."
933,I love these headphones. I needed a pair for plane travel. They are comfortable and sound good.
934,Really good headphone. Clear music sound. Strong bass. Love this.
935,"Nice headphones .. however, they worked about one week after the 30-day return date. Would not recommend, especially since they would not honor return nor replace them."
936,"I bought this headphones and it’s very cool, I like to listen to audiobooks, Now it’s my good companion in my spare time. """
937,"Sound great. They look HUGE on my sons head, but the way they fold makes them reasonable for storage. Can't speak for the mic as he doesn't use them for that."
938,These are awesome!!! My son is blessed with Down syndrome. His head & ears are smaller than others. These headphones fit him perfect!!! He can even turn his head fast & they stay put!!
939,Great thanks
940,I would not reccomend these. Within a few days the sound quality is already bad where I have to rotate the wire to be able to hear well. The connector is too long so it frequently gets hit on things
941,"These headphones work great! They have great sound quality, very affordable and lightweight! Foam ear pads are also very comfortable."
942,Blocks out all outside noise
943,These head phones are very comfortable and are noise cancelling. I like them very much. I highly recommend this product.
944,"Great Headphones. Currently one of my favorite sets. I have owned Soul by Ludacris, Beats by Dre...comparable to both and LITERALLY a fraction of the cost. Slate Grey color gives very high end appearance and ear cups are comfortable for all day use (Could be a bit larger in circumference IMO)."
945,Excellent value for the price. Good sound and noise cancelling. Super comfortable
946,One ear did not work right out of the box. I guess you really do get what you pay gor.
947,"I bought this headphones and it’s very cool, I like to listen to audiobooks, Now it’s my good companion in my spare time. """
948,Its really cool! The voice is clear and I love this color
949,So far so good. I got this for my son to use with Roku remote and sound quality is really good. I tried it on with my phone as well and sounds and works perfectly.
950,My son loves them.. They a very load and sound is perfected..
951,"Nice powerful headphones. Good bass in them, noise canceling is nice too. Wore them while quad riding and didn’t hear much of the outside noise. I like the adjustablity of them too, makes them fit my head well."
952,Great sound quality for an inexpensive product. Also love that they fold up to take up less space when not in use.
953,"Sound not bad. Got them to just throw in my bag for going to work, but not very comfortable if wearing for an extended period of time."
954,Absolute BEST gaming headset in this price range!
955,Well my so got the for Christmas and they ae now not working. I cant find the place to contact the seller
956,Lightning deal (9.99)....volume a bit low
957,These headphones work great for the price . You can answer the phone while using these
958,They where broke when I received them
959,"Right out of the box they started to cut out and now they barely work. I feel cheated. You live and you learn, learn from my mistake."
960,These headphones are AWESOME!! I seriously hate earbud headphones but these are comfortable and they sound great!! Love them so much I bought another pair!
961,"I browsed many products on Amazon before buying these headphones, I was attracted by the black-red version and the affordable price. I also want to buy a blue version for my brother."
962,"Great product, great price"
963,Super clear sound
964,Great sound and comfort!
965,Nice sound and comfortable.
966,Awesome headphones! Very comfortable..great sound!
967,It broke in 2 weeks! Not recommend it!
968,"These actually have decent bass to them, just a heads up they feel really light and plasticy so if you are looking for something with some weight to it these might not be for you."
969,"Purchased red/black and blue headphones. Red/black headphone feels really loose and keeps sliding off my head, blue one works nicely."
970,I purchased two of the headphones. They were given as gifts to my granddaughters and they absolutely loved them.
971,"I love the design! These can perfectly fit my head and are very comfortable to wear. I usually wear them on the subway to block the outside noise."""
972,Amazing...the best so far
973,they are great. Love them.
974,The headphones are very soft and comfortable. I used them to play the video games. It works amazing.
975,Great over ear headphones for the price!. Light weight and sounds great.
976,We recently purchase this an the sound is going in and out and no longer working.
977,Audio on these headphones is terrible. Starting the return.... These are low low quality audio. They are functional but awful.
978,Great price and the bass is good.
979,The sound is great especially for the price! It's also nice that they fold because my 3 year old can't break them so easily. They've held up great so far.
980,"I am very happy with this product! I was always looking for some cheap but good quality headphones. The price is premium and the quality is great. """
981,Excellent sound! Quite impressed. Definitely ordering another pair!
982,Amazing quality! Amazing sound! I've paid 3 times as much for headphones that weren't half as nice. The cord is the perfect length for when I'm on the elliptical at the gym. You've got a customer for life! Thank you!
983,"Perfect for any use. I love it, I want a regard in my next shop xD"
984,"I've been using these headphones for at least one month now, and so far so good."
985,"Decent sound. Bass is nice. would like a cleaner treble, but all in all I enjoy these headphones a lot."
986,"It arrived when expected, and works great. they fit well and are comfortable to wear. They sound great, fold up, and I love the durable cord."
987,Good sound over all this is a great product
988,Lasted one month and then the sound was no longer working on one side. Junk.
989,Very nice headphones. They exceeded my expectations. Highly recommended
990,"I love them. Originally they were for my daughter, but I use them all the time. The sound is great. I actually am getting another pair."
991,Great ear phones! I use they to talk to students over the internet that live in China! Great investment!
992,Great Headphones! Can't beat the price.
993,I like it...these headphones are great and for a good price. I would definitely recommend this product.
994,These headphone actually surprised me at how loud they were. They are some of the best headphones if owned at such a cheap price. I would definitely recommend these
995,Poor build quality One side has stopped working within 4 months.Sound quality is average.
996,They sound great and are inexspensive
997,Great sound and value. I'm pleasantly surprised with how comfortable these are and sound quality is great as well. Everything feels sturdy and well built.
998,The sound is good but the fit is pretty uncomfortable and the sound cuts out of the right side every once in a while and to fix it you have to reposition the cord.
999,I love this headphones.. Sound good and for me very comfortable.
1000,Product better than expected. Sound quality is as good as my Sony headphones.
1001,Seem to be in good condition. No problems or complaints.
1002,Works great!
1003,I am very happy with the product. It is very comfortable and has great sound quality.
1004,Very natural sound with a lot of dynamic range. Very comfortable to wear and solidly built.
1005,"I bought this for a Christmas gift so cannot give it a review now. This
Looks very nice. Thank you"
1006,Great headphones at a great price. Needed a new headphone and im glad i found these!
1007,Work like expensive headphones! Comfortable and great sound!
1008,Worked well in the beginning. I stopped being able to hear the words and I could only hear the music from a video
1009,Great headphones! A lil bit heavy on the low end but nice and clear. My drummer seems to like them
1010,Looks great but haven't used them. Yet.
1011,"Ordered a pair for my little sister's first headphones, best so far. She loved them and soon will like to order myself a pair soon!"
1012,They are comfortable and sound great!
1013,"Within 2 weeks, one of the ear pieces broke completely off when I was floding them. I was completely happy with them until they snapped."
1014,"Very comfy, love it"
1015,Good sound quality. Bought two for my daughters for school.
1016,I think that this beautiful headphone is going be great. I don't have it but I really want it.
1017,"Comfortable headphones and great at noise cancelling. If you listen to bass heavy music however, it's lacking. I saw a lot of people say it's great and while sitting in a relatively quiet bedroom, it is. However, if you use these while walking to class or on a commute to work/school, you'll find it harder to really feel and appreciate the bass in music."
1018,"Great quality for a $20 set of headphones,my only complaint would be that the cord is not removable."
1019,Not to the expectations
1020,Stop working after a month!!
1021,"I bought these for a friend, he absolutely loved them!"
1022,"Great sound, very durable"
1023,Really like the packaging and really happy with these headphones!
1024,Nice headphones for the price. Product arrived promptly.
1025,"Nice sound,fit and price. Color and ear padding well done."
1026,The ear holes are too small and too round.
1027,"Love them, they're perfect!"
1028,Outstanding value
1029,Perfect for my class computer
1030,"They look great, very comfortable. My fiancé loves them"
1031,"Headphones got here in time, but started shorting out the first day we used them."
1032,Nice compared to iPhone buds..would like a mic on/off switch
1033,Great sound works great with iPhone and MacBook Pro
1034,Perfect for children
1035,Just as advertise
1036,Excellent product at this price level.
1037,"Great sound, very comfortable. Works as advertised."
1038,Excellent quality for the price!
1039,They look great and are comfortable.
1040,Love them!
1041,Needs a converter for use of mic and sound
1042,My son loves his. Great bass.
1043,Work great! Keep out exterior noise.
1044,very good headphones.
1045,This thing broke shortly after buying. Not worth it.
1046,They work good.
1047,Nice.
1048,"Very good sound, look great, excellent price Good for a teenager if not for a serious audiophile."
1049,Headphones broke after 15 minutes of use. The port is so cheaply made it cracked just walking around a living room wearing headphones that were plugged into a mini iPad. Needed tweesers to get the plug out of the iPad.
